date,dataset,site,track,stress_id,risk_code
2024-01-20,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-21,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-22,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-23,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-24,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-25,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-26,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-27,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-28,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-29,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-30,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-01-31,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-01,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-02,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-03,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-04,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-05,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-06,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-07,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-08,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-09,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-10,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-11,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-12,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-13,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-14,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-15,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-16,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-17,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-18,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-19,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-20,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-21,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-22,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-23,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-24,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-25,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-26,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-27,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-28,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-02-29,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-01,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-02,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-03,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-04,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-05,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-06,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-07,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-08,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-09,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-10,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-11,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-12,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-13,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-14,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-15,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-16,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-17,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-18,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-19,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-20,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-21,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-22,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-23,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-24,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,NOT_SEASONAL
2024-03-25,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,UNFAVORABLE
2024-03-26,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,UNFAVORABLE
2024-03-27,Mingyang 2024,"Mingyang, Guangxi (22.61 N, 108.23 E)",Powdery mildew,UNCINE,UNFAVORABLE
