id,fungicide_name,dose,dose_unit,total_unit,task_id
830,烯酰·异菌脲,0.76,ml/L,毫升,4edb394a-13d9-4eec-98a8-5aef34d042c9
1562,代森锰锌,1.73,g/L,克,4f220bbf-096f-43c1-9d70-6eaa68ae40a9
1563,波尔多液,2.33,g/L,克,4f220bbf-096f-43c1-9d70-6eaa68ae40a9
1452,精甲霜·锰锌,4.33,g/L,克,066e8354-898a-4836-96e2-f4bb66ec02f8
1453,波尔多液,2.33,g/L,克,066e8354-898a-4836-96e2-f4bb66ec02f8
1328,烯酰·异菌脲,0.76,ml/L,毫升,df26a07c-e2a7-4d35-8c5a-4c60d472090f
1329,乙铝·氟吡胺,2.2,g/L,克,df26a07c-e2a7-4d35-8c5a-4c60d472090f
1454,氰霜·嘧菌酯,0.23,ml/L,毫升,066e8354-898a-4836-96e2-f4bb66ec02f8
870,氰霜·嘧菌酯,0.23,ml/L,毫升,fd2f7859-114d-4eaf-95c8-4945701ff169
665,代森锰锌,1.73,g/L,克,12719ce9-d243-473c-9977-27a8d6b10d79
871,唑嘧·代森联,0.8,g/L,克,fd2f7859-114d-4eaf-95c8-4945701ff169
666,嘧菌酯,0.86,ml/L,毫升,12719ce9-d243-473c-9977-27a8d6b10d79
670,波尔多液,2.33,g/L,克,83f0f566-d6fa-4b9c-a834-c315b39bf155
701,代森锰锌,1.73,g/L,克,2a1eae1b-dbe6-40bf-9039-d7392477b05f
702,嘧菌酯,0.86,ml/L,毫升,2a1eae1b-dbe6-40bf-9039-d7392477b05f
707,氰霜·嘧菌酯,0.23,ml/L,毫升,4a808f28-84dd-4f44-a81f-b46a35597fd1
708,嘧菌酯,0.86,ml/L,毫升,4a808f28-84dd-4f44-a81f-b46a35597fd1
714,波尔多液,2.33,g/L,克,f1395326-c395-4b2c-a35c-db182b1157ad
715,代森锰锌,1.73,g/L,克,f1395326-c395-4b2c-a35c-db182b1157ad
998,唑嘧·代森联,0.8,g/L,克,5284613d-f54b-47e1-ace8-6f436015cba9
1000,氰霜·嘧菌酯,0.23,ml/L,毫升,14bc3a31-105e-45e6-aa4f-d89896d7f845
1002,唑嘧·代森联,0.8,g/L,克,0c1124ac-f44b-4afa-95ce-ba5f7e0fbbc8
1011,氰霜·嘧菌酯,0.23,ml/L,毫升,f2d5519c-9bc5-45d0-b0f8-7736e0280473
734,嘧菌酯,0.86,ml/L,毫升,8ee3fa42-3500-4732-bcf8-761fcab0f265
735,氰霜·嘧菌酯,0.23,ml/L,毫升,8ee3fa42-3500-4732-bcf8-761fcab0f265
1012,代森锰锌,1.73,g/L,克,f2d5519c-9bc5-45d0-b0f8-7736e0280473
1015,氰霜·嘧菌酯,0.23,ml/L,毫升,44e16fd1-d84e-47df-8bed-1ccef1fef880
1016,代森锰锌,1.73,g/L,克,44e16fd1-d84e-47df-8bed-1ccef1fef880
1020,氰霜·嘧菌酯,0.23,ml/L,毫升,d0e1999a-adc2-4733-8546-2579c0f82bef
1021,代森锰锌,1.73,g/L,克,d0e1999a-adc2-4733-8546-2579c0f82bef
1022,精甲霜·锰锌,4.33,g/L,克,d0e1999a-adc2-4733-8546-2579c0f82bef
1025,氰霜·嘧菌酯,0.23,ml/L,毫升,8ba4df12-3b37-433e-9b15-3b86f1dc7b4e
899,氰霜·嘧菌酯,0.23,ml/L,毫升,1d7bc745-fe66-4bf2-ab6e-8f0de4f2418b
282,烯酰·异菌脲,0.76,ml/L,毫升,49690a85-0636-440f-a655-d83a7ec81f9a
900,烯酰·异菌脲,0.76,ml/L,毫升,1d7bc745-fe66-4bf2-ab6e-8f0de4f2418b
1026,代森锰锌,1.73,g/L,克,8ba4df12-3b37-433e-9b15-3b86f1dc7b4e
283,氰霜·嘧菌酯,0.23,ml/L,毫升,49690a85-0636-440f-a655-d83a7ec81f9a
284,波尔多液,2.33,g/L,克,49690a85-0636-440f-a655-d83a7ec81f9a
908,嘧菌酯,0.86,ml/L,毫升,9af98157-4abf-4836-b2b4-e9657b953b07
1356,烯酰·异菌脲,0.76,ml/L,毫升,78307992-51f4-4c0a-88ed-a388a0fb2089
1357,乙铝·氟吡胺,2.2,g/L,克,78307992-51f4-4c0a-88ed-a388a0fb2089
1373,乙铝·氟吡胺,2.2,g/L,克,d0e594e4-9870-4e5d-87c2-c2f6397cc229
1490,精甲霜·锰锌,4.33,g/L,克,9cecd525-b0c0-4a41-9900-7287673306bb
1491,唑嘧·代森联,0.8,g/L,克,9cecd525-b0c0-4a41-9900-7287673306bb
936,乙铝·氟吡胺,2.2,g/L,克,78d560d2-8327-4dcf-b845-8a63eb734edd
939,波尔多液,2.33,g/L,克,a5937a4e-3210-4796-8b35-905bf1144b72
940,代森锰锌,1.73,g/L,克,a5937a4e-3210-4796-8b35-905bf1144b72
1508,精甲霜·锰锌,4.33,g/L,克,8cab262b-0bef-44b7-8973-4492e8d06e41
1509,波尔多液,2.33,g/L,克,8cab262b-0bef-44b7-8973-4492e8d06e41
1541,嘧菌酯,0.86,ml/L,毫升,b444522e-1c3e-48f8-bba7-ee92dd14bca4
305,氰霜·嘧菌酯,0.23,ml/L,毫升,2ee069b4-145d-4da1-af98-403f10e1354a
306,唑嘧·代森联,0.8,g/L,克,2ee069b4-145d-4da1-af98-403f10e1354a
309,唑嘧·代森联,0.8,g/L,克,faee05a1-ab6c-43a0-b6b2-88497bd354a5
802,氰霜·嘧菌酯,0.23,ml/L,毫升,22903470-6b68-49f4-b970-3881a392cf6f
803,唑嘧·代森联,0.8,g/L,克,22903470-6b68-49f4-b970-3881a392cf6f
684,嘧菌酯,0.86,ml/L,毫升,3797ed92-6ecc-4df6-a119-b0c41b915a48
685,波尔多液,2.33,g/L,克,3797ed92-6ecc-4df6-a119-b0c41b915a48
804,嘧菌酯,0.86,ml/L,毫升,22903470-6b68-49f4-b970-3881a392cf6f
942,唑嘧·代森联,0.8,g/L,克,4c14b7e3-e4f3-499b-b643-5ab0bd27869a
1555,代森锰锌,1.73,g/L,克,cf8dc2b5-415d-486c-869c-337ce2748fe3
953,波尔多液,2.4,g/L,克,03132b18-14d4-470a-882b-e5925e7365ba
817,烯酰·异菌脲,0.76,ml/L,毫升,80fbb771-dfe0-4e06-a5ca-0475f0c962d0
818,唑嘧·代森联,0.8,g/L,克,80fbb771-dfe0-4e06-a5ca-0475f0c962d0
822,氰霜·嘧菌酯,0.23,ml/L,毫升,57fbbe24-0d73-4a9f-8a13-86d82a6b8e0b
954,代森锰锌,1.8,g/L,克,03132b18-14d4-470a-882b-e5925e7365ba
831,唑嘧·代森联,0.8,g/L,克,fc101b50-1606-455f-92ba-2f78f01664a9
832,烯酰·异菌脲,0.76,ml/L,毫升,fc101b50-1606-455f-92ba-2f78f01664a9
652,代森锰锌,1.73,g/L,克,55de9565-715b-4c1a-b932-1cc179a3cd09
1558,精甲霜·锰锌,4.33,g/L,克,41874009-4475-46dd-a539-52ccc320f80f
1559,乙铝·氟吡胺,2.2,g/L,克,41874009-4475-46dd-a539-52ccc320f80f
842,烯酰·异菌脲,0.76,ml/L,毫升,544c431e-3aa8-4815-be6a-cf19cd406d25
1320,波尔多液,2.33,g/L,克,671b0424-4457-490f-9f6e-087de3368f01
1326,唑嘧·代森联,0.8,g/L,克,7d680dc4-4e3c-4424-8764-987a3a848963
1330,代森锰锌,1.73,g/L,克,8b9c0400-2344-4521-a32f-518e87985441
976,波尔多液,2.4,g/L,克,6b987378-52c2-494f-b579-3daef6605d65
977,代森锰锌,1.8,g/L,克,6b987378-52c2-494f-b579-3daef6605d65
667,嘧菌酯,0.86,ml/L,毫升,f2cc19e0-aae8-4012-9cbf-5a60636f54f4
671,代森锰锌,1.73,g/L,克,ecdca5dc-178b-428d-a367-6d9d046dde51
872,氰霜·嘧菌酯,0.23,ml/L,毫升,c89d3646-3fa8-402f-a365-f2131b11b2c9
873,精甲霜·锰锌,4.33,g/L,克,c89d3646-3fa8-402f-a365-f2131b11b2c9
672,波尔多液,2.33,g/L,克,ecdca5dc-178b-428d-a367-6d9d046dde51
677,代森锰锌,1.73,g/L,克,41113be2-b5dc-4145-9ad7-87da9e1906d3
678,波尔多液,2.33,g/L,克,41113be2-b5dc-4145-9ad7-87da9e1906d3
703,氰霜·嘧菌酯,0.23,ml/L,毫升,f8756134-1583-4628-a7f3-04e5648a7634
704,烯酰·异菌脲,0.76,ml/L,毫升,f8756134-1583-4628-a7f3-04e5648a7634
1352,氰霜·嘧菌酯,0.23,ml/L,毫升,2b2ed6d6-099c-4e38-b166-944a9f08237c
1353,烯酰·异菌脲,0.76,ml/L,毫升,2b2ed6d6-099c-4e38-b166-944a9f08237c
889,氰霜·嘧菌酯,0.23,ml/L,毫升,bb7aaf05-c284-4d34-bbad-39f8889753b4
890,嘧菌酯,0.86,ml/L,毫升,bb7aaf05-c284-4d34-bbad-39f8889753b4
895,唑嘧·代森联,0.8,g/L,克,1db58902-2359-4cab-a475-ab3a5e7bcf3a
896,精甲霜·锰锌,4.33,g/L,克,1db58902-2359-4cab-a475-ab3a5e7bcf3a
906,精甲霜·锰锌,4.33,g/L,克,3033400f-9c09-4784-aa3c-ea3a2dd7212b
1445,精甲霜·锰锌,4.33,g/L,克,3c688c55-5779-4ac2-ad4d-cb035a0628a8
995,唑嘧·代森联,0.8,g/L,克,76697850-495e-4b6e-b7ef-ac15f59f9bec
1374,唑嘧·代森联,0.9,g/L,克,e4688409-10e7-4443-af51-e010872b6284
1446,波尔多液,2.33,g/L,克,3c688c55-5779-4ac2-ad4d-cb035a0628a8
723,波尔多液,2.33,g/L,克,8ff78eee-920f-4ffa-8f33-a8d67ebc94e3
1447,氰霜·嘧菌酯,0.23,ml/L,毫升,3c688c55-5779-4ac2-ad4d-cb035a0628a8
997,唑嘧·代森联,0.8,g/L,克,931da327-5e10-486d-a584-6cd5b96446e8
1375,代森锰锌,1.7,g/L,克,e4688409-10e7-4443-af51-e010872b6284
1448,烯酰·异菌脲,0.76,ml/L,毫升,3c688c55-5779-4ac2-ad4d-cb035a0628a8
1001,烯酰·异菌脲,0.76,ml/L,毫升,360f6f4b-c18d-4f3d-895d-e4044b97a003
926,氰霜·嘧菌酯,0.23,ml/L,毫升,baae7d70-4888-409d-94c5-fce331dba140
927,嘧菌酯,0.86,ml/L,毫升,baae7d70-4888-409d-94c5-fce331dba140
1465,氰霜·嘧菌酯,0.23,ml/L,毫升,5815ef49-7547-4efb-832d-590a41370610
1466,精甲霜·锰锌,4.33,g/L,克,5815ef49-7547-4efb-832d-590a41370610
1129,波尔多液,2.33,g/L,克,75d11be1-8d67-4db1-a67c-3f09104c92d5
1130,氰霜·嘧菌酯,0.23,ml/L,毫升,75d11be1-8d67-4db1-a67c-3f09104c92d5
1488,精甲霜·锰锌,4.33,g/L,克,7de2c2ef-ab0e-4c18-98e6-2b7151692f02
1494,精甲霜·锰锌,4.5,g/L,克,da0dd9c0-805d-4660-95b4-b946a0b0dd2f
1495,波尔多液,2.4,g/L,克,da0dd9c0-805d-4660-95b4-b946a0b0dd2f
1501,精甲霜·锰锌,4.1,g/L,克,154ae889-0493-43be-a95e-6223ef421bfb
1502,波尔多液,2.4,g/L,克,154ae889-0493-43be-a95e-6223ef421bfb
1503,烯酰·异菌脲,0.76,ml/L,毫升,154ae889-0493-43be-a95e-6223ef421bfb
1030,代森锰锌,1.73,g/L,克,bff066c0-e538-43a7-bd25-724ec25e3119
1031,烯酰·异菌脲,0.76,ml/L,毫升,bff066c0-e538-43a7-bd25-724ec25e3119
1504,乙铝·氟吡胺,2.4,g/L,克,154ae889-0493-43be-a95e-6223ef421bfb
1505,唑嘧·代森联,0.8,g/L,克,154ae889-0493-43be-a95e-6223ef421bfb
1515,波尔多液,2.33,g/L,克,3b6b7253-4a0f-4477-aa57-1d775dc16966
1048,唑嘧·代森联,0.8,g/L,克,36c96aad-fbd0-4f36-aa32-a11644b66d39
1516,氰霜·嘧菌酯,0.23,ml/L,毫升,3b6b7253-4a0f-4477-aa57-1d775dc16966
1517,唑嘧·代森联,0.8,g/L,克,3b6b7253-4a0f-4477-aa57-1d775dc16966
1518,代森锰锌,1.73,g/L,克,3b6b7253-4a0f-4477-aa57-1d775dc16966
1519,精甲霜·锰锌,4.33,g/L,克,3b6b7253-4a0f-4477-aa57-1d775dc16966
1526,氰霜·嘧菌酯,0.23,ml/L,毫升,f3630e7b-cb04-426f-ad1b-16194fa046af
1527,精甲霜·锰锌,4.33,g/L,克,f3630e7b-cb04-426f-ad1b-16194fa046af
1528,烯酰·异菌脲,0.76,ml/L,毫升,f3630e7b-cb04-426f-ad1b-16194fa046af
943,代森锰锌,1.73,g/L,克,7751a77d-e6c4-43d4-94a4-733e17bf2e9d
944,乙铝·氟吡胺,2.2,g/L,克,7751a77d-e6c4-43d4-94a4-733e17bf2e9d
699,氰霜·嘧菌酯,0.23,ml/L,毫升,26c7ed7a-1743-4d27-9e51-be64b5aca747
700,烯酰·异菌脲,0.76,ml/L,毫升,26c7ed7a-1743-4d27-9e51-be64b5aca747
705,波尔多液,2.33,g/L,克,a8ff1de1-ed32-4d14-a26b-22fd0da4dd13
706,代森锰锌,1.73,g/L,克,a8ff1de1-ed32-4d14-a26b-22fd0da4dd13
1550,代森锰锌,1.73,g/L,克,fb3d6b3c-3baf-4d4b-a779-af1776ef11fd
949,代森锰锌,1.8,g/L,克,a72be1cc-8872-488b-9c95-7610c3d7d9d4
950,波尔多液,2.4,g/L,克,a72be1cc-8872-488b-9c95-7610c3d7d9d4
718,波尔多液,2.33,g/L,克,1af2108f-21c1-4338-b1d7-34b0d8dbea8c
719,代森锰锌,1.73,g/L,克,1af2108f-21c1-4338-b1d7-34b0d8dbea8c
644,波尔多液,2.33,g/L,克,036414ca-b922-46f9-a656-cb0b911d9c0b
645,代森锰锌,1.73,g/L,克,036414ca-b922-46f9-a656-cb0b911d9c0b
1556,烯酰·异菌脲,0.76,ml/L,毫升,ea54efa1-966d-42ec-a468-69069ababe1b
653,波尔多液,2.33,g/L,克,094575b4-bd3b-43c3-8051-fbe2db6534f1
658,嘧菌酯,0.86,ml/L,毫升,ed2d9acf-ffc1-4332-95f5-76f8755bfdf2
663,代森锰锌,1.73,g/L,克,4a831240-fa53-4fbc-99b6-f2f7dcdee779
664,嘧菌酯,0.86,ml/L,毫升,4a831240-fa53-4fbc-99b6-f2f7dcdee779
668,嘧菌酯,0.86,ml/L,毫升,05e24200-cb22-439e-b0c4-6929e43c0df0
669,代森锰锌,1.73,g/L,克,05e24200-cb22-439e-b0c4-6929e43c0df0
673,波尔多液,2.33,g/L,克,678e43ca-bcc2-41c0-a46f-04628d3a2871
1321,唑嘧·代森联,0.8,g/L,克,622cb88c-d484-4e88-8e64-84c94cb42091
720,乙铝·氟吡胺,2.2,g/L,克,1af2108f-21c1-4338-b1d7-34b0d8dbea8c
724,唑嘧·代森联,0.8,g/L,克,f1ca807e-3698-4f76-a033-53bf546ae921
725,氰霜·嘧菌酯,0.23,ml/L,毫升,f1ca807e-3698-4f76-a033-53bf546ae921
819,唑嘧·代森联,0.8,g/L,克,229c5ebe-fe9c-43df-9023-780be254450f
820,烯酰·异菌脲,0.76,ml/L,毫升,229c5ebe-fe9c-43df-9023-780be254450f
1327,唑嘧·代森联,0.8,g/L,克,bd062633-6ee5-4b03-a694-eb7362a60093
738,嘧菌酯,0.86,ml/L,毫升,6d2b464d-16d5-4863-998b-8618a481af3d
739,氰霜·嘧菌酯,0.23,ml/L,毫升,6d2b464d-16d5-4863-998b-8618a481af3d
1565,氰霜·嘧菌酯,0.23,ml/L,毫升,bcac9d1e-ef7f-44b9-9487-aba79472fc9e
1426,精甲霜·锰锌,4.33,g/L,克,21ef1384-f47b-421d-82c0-898880db1293
1427,波尔多液,2.33,g/L,克,21ef1384-f47b-421d-82c0-898880db1293
1428,氰霜·嘧菌酯,0.23,ml/L,毫升,21ef1384-f47b-421d-82c0-898880db1293
1429,烯酰·异菌脲,0.76,ml/L,毫升,21ef1384-f47b-421d-82c0-898880db1293
1438,精甲霜·锰锌,4.33,g/L,克,d4a3cb57-81b8-454c-99b3-de12def7bf05
1439,波尔多液,2.33,g/L,克,d4a3cb57-81b8-454c-99b3-de12def7bf05
1440,氰霜·嘧菌酯,0.23,ml/L,毫升,d4a3cb57-81b8-454c-99b3-de12def7bf05
1364,嘧菌酯,0.86,ml/L,毫升,91ea8727-d315-49a7-9928-aa14b7884633
1365,唑嘧·代森联,0.8,g/L,克,91ea8727-d315-49a7-9928-aa14b7884633
1366,代森锰锌,1.73,g/L,克,91ea8727-d315-49a7-9928-aa14b7884633
1441,烯酰·异菌脲,0.76,ml/L,毫升,d4a3cb57-81b8-454c-99b3-de12def7bf05
1372,代森锰锌,1.73,g/L,克,bf279a22-25e5-4143-a663-f3b44dc0dd58
1459,精甲霜·锰锌,4.33,g/L,克,2981a162-dc03-4344-a400-c260d6bc4e13
1460,波尔多液,2.33,g/L,克,2981a162-dc03-4344-a400-c260d6bc4e13
1461,氰霜·嘧菌酯,0.23,ml/L,毫升,2981a162-dc03-4344-a400-c260d6bc4e13
770,嘧菌酯,0.86,ml/L,毫升,60113056-23aa-43d6-89cb-970c83a7c227
771,氰霜·嘧菌酯,0.23,ml/L,毫升,60113056-23aa-43d6-89cb-970c83a7c227
1462,烯酰·异菌脲,0.76,ml/L,毫升,2981a162-dc03-4344-a400-c260d6bc4e13
776,嘧菌酯,0.86,ml/L,毫升,30d7274b-b132-4cf5-8bc6-ff76f85d48ea
777,代森锰锌,1.73,g/L,克,30d7274b-b132-4cf5-8bc6-ff76f85d48ea
1481,精甲霜·锰锌,4.33,g/L,克,1904f2b6-49dc-407e-b5f5-b965443561d6
1482,波尔多液,2.33,g/L,克,1904f2b6-49dc-407e-b5f5-b965443561d6
1489,精甲霜·锰锌,4.33,g/L,克,47cc34da-6fb4-4f3c-a947-8f8f5bab2bdc
1506,波尔多液,2.33,g/L,克,04aae40e-66d2-4f58-b6b8-5be2c22af72a
843,代森锰锌,1.73,g/L,克,692536d5-6d95-456e-abe2-f435d8b5215d
844,乙铝·氟吡胺,2.2,g/L,克,692536d5-6d95-456e-abe2-f435d8b5215d
1507,嘧菌酯,0.86,ml/L,毫升,04aae40e-66d2-4f58-b6b8-5be2c22af72a
1520,代森锰锌,1.73,g/L,克,b19a91c8-f0a4-41db-819f-fc602cbbec98
787,氰霜·嘧菌酯,0.23,ml/L,毫升,6ab01601-2c71-4d32-b19a-8ea211c81ca8
788,唑嘧·代森联,0.9,g/L,克,6ab01601-2c71-4d32-b19a-8ea211c81ca8
789,氰霜·嘧菌酯,0.23,ml/L,毫升,688e3c3f-2b74-4f67-bd1a-147199e37aa6
790,唑嘧·代森联,0.9,g/L,克,688e3c3f-2b74-4f67-bd1a-147199e37aa6
1521,乙铝·氟吡胺,2.2,g/L,克,b19a91c8-f0a4-41db-819f-fc602cbbec98
1522,烯酰·异菌脲,0.76,ml/L,毫升,b19a91c8-f0a4-41db-819f-fc602cbbec98
793,氰霜·嘧菌酯,0.23,ml/L,毫升,2a2fe1bb-4660-4f77-9f29-c8c96e5ab0f8
794,烯酰·异菌脲,0.76,ml/L,毫升,2a2fe1bb-4660-4f77-9f29-c8c96e5ab0f8
796,烯酰·异菌脲,0.76,ml/L,毫升,510fb51f-3c91-42a4-adc4-65c864de0943
862,氰霜·嘧菌酯,0.23,ml/L,毫升,af209440-d231-474e-82fb-557a82f59204
798,烯酰·异菌脲,0.76,ml/L,毫升,ed5083b8-42c5-486b-9dff-9161d6495f13
863,乙铝·氟吡胺,2.2,g/L,克,af209440-d231-474e-82fb-557a82f59204
879,氰霜·嘧菌酯,0.23,ml/L,毫升,7c3b0029-80ea-499a-b447-72f2d21de54f
880,嘧菌酯,0.86,ml/L,毫升,7c3b0029-80ea-499a-b447-72f2d21de54f
903,氰霜·嘧菌酯,0.23,ml/L,毫升,eeee91ad-bb3a-4284-b3fe-3f080c1ef47d
904,烯酰·异菌脲,0.76,ml/L,毫升,eeee91ad-bb3a-4284-b3fe-3f080c1ef47d
911,氰霜·嘧菌酯,0.23,ml/L,毫升,179477ae-ff7f-41f3-81e3-43cc6cb8c24c
912,嘧菌酯,0.86,ml/L,毫升,179477ae-ff7f-41f3-81e3-43cc6cb8c24c
917,氰霜·嘧菌酯,0.23,ml/L,毫升,3dcdbf31-915d-4386-af9a-2ca305442855
918,嘧菌酯,0.86,ml/L,毫升,3dcdbf31-915d-4386-af9a-2ca305442855
923,唑嘧·代森联,0.8,g/L,克,63c5e883-6445-4412-b35a-1f55478e9a80
928,波尔多液,2.33,g/L,克,f25f3db1-32a7-461d-a894-19c5e9916dbe
929,代森锰锌,1.73,g/L,克,f25f3db1-32a7-461d-a894-19c5e9916dbe
935,波尔多液,2.33,g/L,克,78d560d2-8327-4dcf-b845-8a63eb734edd
