uuid,sprayer_capacity,mixer_capacity,water_consumption,execution_time,type,task_status,container,crop_uuid_id,field_name
f340ec3f-36b5-45c8-8f9a-fc12c186c2b9,16,100,12,2024-06-23,植保,已完成,喷雾器,70af000f-7d1f-4d81-b501-778b16e1af7d,
671b0424-4457-490f-9f6e-087de3368f01,15,100,1029,2024-11-01,植保,已过期,大型容器,315ff872-4e31-4959-9bff-56cd95346f8b,
8b9c0400-2344-4521-a32f-518e87985441,15,100,30,2024-11-01,植保,已过期,大型容器,65a4dfb4-d3ea-4be8-aa12-737768decd75,
3b6b7253-4a0f-4477-aa57-1d775dc16966,15,100,1766,2025-09-18,植保,已过期,喷雾器,6d415e77-559d-4216-8b2d-7b0003afe74f,
e4688409-10e7-4443-af51-e010872b6284,11,80,6705,2024-11-05,植保,已过期,大型容器,1774ef3b-1213-456a-a9ca-8bc4a9b3975a,
da0dd9c0-805d-4660-95b4-b946a0b0dd2f,15,100,6705,2025-05-28,植保,已完成,大型容器,1774ef3b-1213-456a-a9ca-8bc4a9b3975a,
47cc34da-6fb4-4f3c-a947-8f8f5bab2bdc,15,100,326,2025-04-22,植保,已过期,大型容器,38a98fc0-c4d3-4e18-90c8-1670a4158b5b,
b444522e-1c3e-48f8-bba7-ee92dd14bca4,15,100,183,2025-10-30,植保,已完成,大型容器,efdbe548-dd39-4703-8717-45dc363a2551,
154ae889-0493-43be-a95e-6223ef421bfb,15,100,1471,2025-08-06,植保,未执行,大型容器,c961dae4-a1f2-4d25-ac97-2d2f0bd03185,
fb3d6b3c-3baf-4d4b-a779-af1776ef11fd,15,100,5070,2025-10-31,植保,已完成,大型容器,a7eaa117-5576-4aaa-843f-c630002c4520,
75d11be1-8d67-4db1-a67c-3f09104c92d5,15,100,7296,2024-10-22,植保,已过期,大型容器,9331a461-45ce-4e79-94e6-a729f0f84653,
f8756134-1583-4628-a7f3-04e5648a7634,15,100,476,2024-04-30,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
49690a85-0636-440f-a655-d83a7ec81f9a,15,100,2012,2024-04-02,植保,已过期,大型容器,38701420-0562-43e4-9ae3-8c3721ae56d0,
2ee069b4-145d-4da1-af98-403f10e1354a,15,240,23,2024-04-02,植保,已过期,大型容器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
a8ff1de1-ed32-4d14-a26b-22fd0da4dd13,15,100,476,2024-04-23,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
80fbb771-dfe0-4e06-a5ca-0475f0c962d0,15,100,37,2024-05-17,植保,已完成,喷雾器,d0871a80-485c-42cd-add7-8a3400ed3672,
9c289f17-bedb-4da6-bda5-676fbc66863f,15,100,269,2024-05-10,植保,已完成,喷雾器,fff5b035-4ea9-40f6-90c5-0645b58c1a66,都安（通知）
fc101b50-1606-455f-92ba-2f78f01664a9,15,100,37,2024-05-20,植保,已完成,喷雾器,d0871a80-485c-42cd-add7-8a3400ed3672,
0a6241e4-d0c8-4243-b059-4d159570a2c0,15,100,686,2026-04-24,植保,已过期,大型容器,21f92586-cdcd-4a12-94bd-2fbb5a7dfc0f,
544c431e-3aa8-4815-be6a-cf19cd406d25,15,100,6,2024-05-20,植保,已完成,喷雾器,8ac31b72-0267-4b2b-818b-b7498693c7cf,
00d88bcc-c43d-43b3-8af6-d38bbee761cf,15,100,4126,2026-04-24,植保,已过期,大型容器,59f3dfc4-9c48-4191-ba88-f083641be764,
60113056-23aa-43d6-89cb-970c83a7c227,15,100,84,2024-04-25,植保,已完成,喷雾器,72a9612a-fdc7-4d5c-ac98-c2f857d98ec0,都安（正常）
76697850-495e-4b6e-b7ef-ac15f59f9bec,15,100,6,2024-06-19,植保,已完成,喷雾器,8ac31b72-0267-4b2b-818b-b7498693c7cf,
6d2b464d-16d5-4863-998b-8618a481af3d,15,100,149,2024-04-23,植保,已完成,喷雾器,28da9d16-dca6-42d0-a44d-a7276db2b249,明阳基地（正常）
c89d3646-3fa8-402f-a365-f2131b11b2c9,15,100,44,2024-05-22,植保,已完成,喷雾器,7224cbfc-a075-49f3-a298-9edbdb8f2519,
bb7aaf05-c284-4d34-bbad-39f8889753b4,15,100,269,2024-05-23,植保,已完成,喷雾器,fff5b035-4ea9-40f6-90c5-0645b58c1a66,都安（通知）
4f220bbf-096f-43c1-9d70-6eaa68ae40a9,15,100,14468,2026-04-30,植保,已完成,喷雾器,a778ce5d-6d47-420c-a292-95b45958231b,
7751a77d-e6c4-43d4-94a4-733e17bf2e9d,15,100,72,2024-05-12,植保,已完成,喷雾器,f321826f-1fc3-4cc9-a074-84161e912c88,112121
1d7bc745-fe66-4bf2-ab6e-8f0de4f2418b,15,100,25,2024-06-04,植保,已完成,喷雾器,56de75a0-6a7f-4317-ac0b-fa1072572031,
d0e1999a-adc2-4733-8546-2579c0f82bef,15,100,4503,2024-07-20,植保,已完成,大型容器,06f61fab-d768-4a0a-8105-bc4069f69b09,
9af98157-4abf-4836-b2b4-e9657b953b07,15,100,6,2024-06-05,植保,已完成,喷雾器,8ac31b72-0267-4b2b-818b-b7498693c7cf,
3dcdbf31-915d-4386-af9a-2ca305442855,15,100,84,2024-06-04,植保,已完成,喷雾器,72a9612a-fdc7-4d5c-ac98-c2f857d98ec0,
2a1eae1b-dbe6-40bf-9039-d7392477b05f,15,100,476,2024-04-29,植保,已完成,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
78307992-51f4-4c0a-88ed-a388a0fb2089,15,100,250,2024-11-06,植保,已完成,喷雾器,b444a6dd-1219-4db5-b5c5-007c015d2498,
622cb88c-d484-4e88-8e64-84c94cb42091,15,100,7057,2024-10-31,植保,已过期,喷雾器,e39fdf27-3a08-4d75-943c-91aa66a0556e,
bf279a22-25e5-4143-a663-f3b44dc0dd58,15,100,6705,2024-07-01,植保,已完成,大型容器,1774ef3b-1213-456a-a9ca-8bc4a9b3975a,
bd062633-6ee5-4b03-a694-eb7362a60093,15,100,7057,2024-10-31,植保,已过期,喷雾器,e39fdf27-3a08-4d75-943c-91aa66a0556e,
556ef9e5-6eed-4224-92ac-7f88d6243c3c,15,100,84,2025-01-03,植保,已过期,喷雾器,ad427d04-b2a7-44a7-be42-fe05a7e33276,
678e43ca-bcc2-41c0-a46f-04628d3a2871,15,100,476,2024-04-23,植保,已过期,大型容器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
f98db280-893b-41b4-a245-442272242c63,15,100,2256,2024-06-18,植保,已完成,喷雾器,ad91f27c-06c0-4ec2-a348-c18348fcf3fe,
ecdca5dc-178b-428d-a367-6d9d046dde51,15,100,476,2024-04-23,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
83f0f566-d6fa-4b9c-a834-c315b39bf155,16,100,476,2024-04-23,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
f2cc19e0-aae8-4012-9cbf-5a60636f54f4,15,100,476,2024-04-23,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
e0feb5e9-22f6-4974-85d5-9a9252265b1c,15,100,4207,2024-04-22,植保,已完成,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
d11dbc81-db98-497d-aea4-d120eab6ba3e,15,100,4207,2024-04-23,植保,已完成,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
094575b4-bd3b-43c3-8051-fbe2db6534f1,15,100,476,2024-04-24,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
fa4a3cae-8daf-477f-a3f3-886b0f985a3d,15,100,4207,2024-04-18,植保,已完成,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
4bb26734-250c-4824-a28a-ab9c2edd06eb,15,100,4207,2024-04-18,植保,已完成,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
ed2d9acf-ffc1-4332-95f5-76f8755bfdf2,15,100,476,2024-04-24,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
036414ca-b922-46f9-a656-cb0b911d9c0b,15,100,476,2024-04-24,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
f25f3db1-32a7-461d-a894-19c5e9916dbe,15,100,476,2024-04-26,植保,已完成,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
03132b18-14d4-470a-882b-e5925e7365ba,16,100,117,2024-06-22,植保,已完成,喷雾器,445f0f8a-cd86-4e50-8f6d-0604c1376dde,
91ea8727-d315-49a7-9928-aa14b7884633,15,100,6915,2024-11-05,植保,已过期,大型容器,4b4b64d3-7da2-4818-8d6e-8c1ec54f56ca,
f1395326-c395-4b2c-a35c-db182b1157ad,15,100,476,2024-04-25,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
05e24200-cb22-439e-b0c4-6929e43c0df0,15,100,476,2024-04-25,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
12719ce9-d243-473c-9977-27a8d6b10d79,15,100,476,2024-04-25,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
8ff78eee-920f-4ffa-8f33-a8d67ebc94e3,15,100,10463,2024-04-25,植保,已过期,喷雾器,fd83bd28-bb02-495d-b1f0-41db2972e656,
a5937a4e-3210-4796-8b35-905bf1144b72,15,100,192,2024-06-21,植保,已完成,喷雾器,068ec16e-d1c1-4ce8-bbe1-0fe008fb7836,
bffbf320-ae46-4214-97a5-164a4fb52719,15,100,476,2024-04-25,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
2649aca9-13ea-4b8f-b586-65b162ab1b7c,15,100,4207,2024-04-17,植保,已过期,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
ba024511-5b0f-4a46-9273-7c70cb764447,15,100,4207,2024-04-18,植保,已过期,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
7fbfd9b6-4248-47dd-ab4c-b66ec6597de1,15,100,4207,2024-04-18,植保,已过期,大型容器,4563f27b-135b-4b10-a730-f4a7c1d2d765,
55de9565-715b-4c1a-b932-1cc179a3cd09,15,100,476,2024-04-28,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
3c688c55-5779-4ac2-ad4d-cb035a0628a8,15,100,16805,2024-11-12,植保,已完成,大型容器,92c5cc80-aa07-419a-bf47-f0d5c945b639,
2981a162-dc03-4344-a400-c260d6bc4e13,15,100,6794,2024-11-12,植保,已完成,大型容器,971df125-0140-4ae8-b067-e99bde55e2a2,
c8bd1d52-8120-42cc-9dc6-4c9272ce7c06,15,100,1177,2025-04-30,植保,已过期,喷雾器,9322dabf-0c52-451d-b6ec-792826dcea35,
4a831240-fa53-4fbc-99b6-f2f7dcdee779,15,100,476,2024-04-26,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
9faf56f0-cce1-4d7b-835a-d0bb3f4d9e74,15,100,476,2024-04-26,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
26c7ed7a-1743-4d27-9e51-be64b5aca747,15,100,476,2024-04-26,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
1af2108f-21c1-4338-b1d7-34b0d8dbea8c,15,100,476,2024-04-26,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
bb72a38e-641a-43fb-873f-b9d05fd0aad5,15,100,476,2024-04-26,植保,已过期,喷雾器,19912ba1-a3a7-42b1-b365-cf0c2f2837ad,
04aae40e-66d2-4f58-b6b8-5be2c22af72a,15,100,7842,2025-08-20,植保,已过期,喷雾器,10fc83a4-7fc7-43ec-8f12-fa95eccee76d,
6b987378-52c2-494f-b579-3daef6605d65,16,100,30,2024-06-21,植保,已过期,喷雾器,65a4dfb4-d3ea-4be8-aa12-737768decd75,
b9d7a440-30bf-4188-8129-b1ded383fee5,15,100,18535,2025-05-06,植保,已过期,喷雾器,1dac3861-ceff-45bd-b431-b535a42a23df,
88933dc1-5fa9-46e1-b766-d03a768bbede,15,100,84,2026-04-27,植保,未执行,大型容器,ad427d04-b2a7-44a7-be42-fe05a7e33276,
6ab01601-2c71-4d32-b19a-8ea211c81ca8,15,100,25,2024-04-25,植保,已完成,喷雾器,56de75a0-6a7f-4317-ac0b-fa1072572031,
688e3c3f-2b74-4f67-bd1a-147199e37aa6,15,100,25,2024-04-25,植保,已完成,喷雾器,56de75a0-6a7f-4317-ac0b-fa1072572031,
2a2fe1bb-4660-4f77-9f29-c8c96e5ab0f8,15,100,44,2024-04-25,植保,已完成,喷雾器,7224cbfc-a075-49f3-a298-9edbdb8f2519,
a2dfb990-a498-4642-bfb7-d9f009e83737,15,100,686,2026-04-24,植保,已过期,大型容器,21f92586-cdcd-4a12-94bd-2fbb5a7dfc0f,
931da327-5e10-486d-a584-6cd5b96446e8,15,100,23,2024-06-21,植保,已完成,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
14bc3a31-105e-45e6-aa4f-d89896d7f845,15,100,23,2024-07-06,植保,已过期,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
1904f2b6-49dc-407e-b5f5-b965443561d6,15,100,103,2024-11-13,植保,已完成,大型容器,79e693a4-3925-4ef8-91cf-7cbf01ec7bda,
510fb51f-3c91-42a4-adc4-65c864de0943,15,100,6,2024-05-07,植保,已完成,喷雾器,8ac31b72-0267-4b2b-818b-b7498693c7cf,
ed5083b8-42c5-486b-9dff-9161d6495f13,1,100,99,2024-05-07,植保,已完成,喷雾器,3b92b168-f1ea-4d74-b28c-7a4b1c068163,
360f6f4b-c18d-4f3d-895d-e4044b97a003,15,100,6,2024-05-22,植保,已完成,喷雾器,8ac31b72-0267-4b2b-818b-b7498693c7cf,
229c5ebe-fe9c-43df-9023-780be254450f,15,100,37,2024-05-14,植保,已完成,喷雾器,d0871a80-485c-42cd-add7-8a3400ed3672,
8d212870-2925-4cf0-8c14-1a071752767b,15,100,4126,2026-04-24,植保,已过期,大型容器,59f3dfc4-9c48-4191-ba88-f083641be764,
f2d5519c-9bc5-45d0-b0f8-7736e0280473,15,100,10652,2024-07-20,植保,已完成,大型容器,62f4173f-0c6f-44a6-9629-11e205def74b,
7de2c2ef-ab0e-4c18-98e6-2b7151692f02,15,100,326,2025-01-16,植保,已过期,大型容器,38a98fc0-c4d3-4e18-90c8-1670a4158b5b,
bcac9d1e-ef7f-44b9-9487-aba79472fc9e,15,100,14468,2026-05-05,植保,已完成,喷雾器,a778ce5d-6d47-420c-a292-95b45958231b,
8ba4df12-3b37-433e-9b15-3b86f1dc7b4e,15,100,4503,2024-07-29,植保,已完成,大型容器,06f61fab-d768-4a0a-8105-bc4069f69b09,
30d7274b-b132-4cf5-8bc6-ff76f85d48ea,15,100,72,2024-04-27,植保,已过期,喷雾器,f321826f-1fc3-4cc9-a074-84161e912c88,112121
af209440-d231-474e-82fb-557a82f59204,15,100,23,2024-05-23,植保,已完成,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
fd2f7859-114d-4eaf-95c8-4945701ff169,15,100,25,2024-05-23,植保,已完成,喷雾器,56de75a0-6a7f-4317-ac0b-fa1072572031,
7c3b0029-80ea-499a-b447-72f2d21de54f,15,100,84,2024-05-22,植保,已完成,喷雾器,72a9612a-fdc7-4d5c-ac98-c2f857d98ec0,
eeee91ad-bb3a-4284-b3fe-3f080c1ef47d,15,100,44,2024-06-04,植保,已完成,喷雾器,7224cbfc-a075-49f3-a298-9edbdb8f2519,
df26a07c-e2a7-4d35-8c5a-4c60d472090f,15,100,7057,2024-10-31,植保,已过期,喷雾器,e39fdf27-3a08-4d75-943c-91aa66a0556e,
baae7d70-4888-409d-94c5-fce331dba140,15,100,149,2024-06-15,植保,已完成,喷雾器,28da9d16-dca6-42d0-a44d-a7276db2b249,
4c14b7e3-e4f3-499b-b643-5ab0bd27869a,15,100,23,2024-06-21,植保,已完成,喷雾器,3e254ea0-e095-4c05-bbd0-303b5940e94b,
179477ae-ff7f-41f3-81e3-43cc6cb8c24c,15,100,269,2024-06-04,植保,已完成,喷雾器,fff5b035-4ea9-40f6-90c5-0645b58c1a66,都安（通知）
cf554b8b-01fe-42eb-ba53-8254a1f84d65,16,100,42,2024-06-22,植保,已完成,喷雾器,32bcbca2-bcac-4be2-99fb-55744735efd2,
281800de-90a6-4115-9f5e-ac64a32ffdf9,15,100,8315,2024-10-25,植保,已完成,大型容器,e875ec3b-1062-458d-a857-bb41b1d1199b,
145c6dcf-1060-4f97-a636-65f3058400d1,15,100,13218,2025-07-29,植保,已过期,大型容器,b4519910-2c4e-43e0-a847-2ef9414ff4e9,
d0e594e4-9870-4e5d-87c2-c2f6397cc229,15,100,6915,2024-11-05,植保,已过期,大型容器,4b4b64d3-7da2-4818-8d6e-8c1ec54f56ca,
8cab262b-0bef-44b7-8973-4492e8d06e41,15,100,4152,2025-09-02,植保,已过期,大型容器,459a8948-b5cf-4a03-997d-ba547e977b2e,
f3630e7b-cb04-426f-ad1b-16194fa046af,15,100,4503,2025-09-23,植保,已完成,大型容器,06f61fab-d768-4a0a-8105-bc4069f69b09,
d4a3cb57-81b8-454c-99b3-de12def7bf05,15,100,16805,2024-11-12,植保,已完成,大型容器,92c5cc80-aa07-419a-bf47-f0d5c945b639,
5815ef49-7547-4efb-832d-590a41370610,15,100,4181,2024-11-13,植保,已完成,大型容器,7c62c035-1291-41a3-a223-6ce4e4bf5837,
39142ea6-3245-4dd2-a2f4-d2ce1141e57a,15,100,6011,2025-10-30,植保,已完成,大型容器,91785a54-246c-4ef1-846c-791df6f71b5f,
